product_name,product_price,product_memory,product_color,product_url,img_url
iPhone 14 Pro Max 128GB,26.390.000₫,128GB,Space Black,https://shopdunk.com/iphone-14-pro-max,https://shopdunk.com/images/thumbs/0007808_iphone-14-pro-max-128gb.png
iPhone 14 Pro Max 128GB,26.390.000₫,128GB,Silver,https://shopdunk.com/iphone-14-pro-max,https://shopdunk.com/images/thumbs/0007808_iphone-14-pro-max-128gb.png
iPhone 14 Pro Max 128GB,26.390.000₫,128GB,Gold,https://shopdunk.com/iphone-14-pro-max,https://shopdunk.com/images/thumbs/0007808_iphone-14-pro-max-128gb.png
iPhone 14 Pro Max 128GB,26.390.000₫,128GB,Deep Purple,https://shopdunk.com/iphone-14-pro-max,https://shopdunk.com/images/thumbs/0007808_iphone-14-pro-max-128gb.png
iPhone 14 Pro Max 1TB,41.990.000₫,1TB,Space Black,https://shopdunk.com/iphone-14-pro-max-1tb,https://shopdunk.com/images/thumbs/0008174_iphone-14-pro-max-1tb.png
iPhone 14 Pro Max 1TB,41.990.000₫,1TB,Silver,https://shopdunk.com/iphone-14-pro-max-1tb,https://shopdunk.com/images/thumbs/0008174_iphone-14-pro-max-1tb.png
iPhone 14 Pro Max 1TB,41.990.000₫,1TB,Gold,https://shopdunk.com/iphone-14-pro-max-1tb,https://shopdunk.com/images/thumbs/0008174_iphone-14-pro-max-1tb.png
iPhone 14 Pro Max 1TB,41.990.000₫,1TB,Deep Purple,https://shopdunk.com/iphone-14-pro-max-1tb,https://shopdunk.com/images/thumbs/0008174_iphone-14-pro-max-1tb.png
iPhone 14 Pro Max 512GB,35.890.000₫,512GB,Space Black,https://shopdunk.com/iphone-14-pro-max-512gb,https://shopdunk.com/images/thumbs/0008133_iphone-14-pro-max-512gb.png
iPhone 14 Pro Max 512GB,35.890.000₫,512GB,Silver,https://shopdunk.com/iphone-14-pro-max-512gb,https://shopdunk.com/images/thumbs/0008133_iphone-14-pro-max-512gb.png
iPhone 14 Pro Max 512GB,35.890.000₫,512GB,Gold,https://shopdunk.com/iphone-14-pro-max-512gb,https://shopdunk.com/images/thumbs/0008133_iphone-14-pro-max-512gb.png
iPhone 14 Pro Max 512GB,35.890.000₫,512GB,Deep Purple,https://shopdunk.com/iphone-14-pro-max-512gb,https://shopdunk.com/images/thumbs/0008133_iphone-14-pro-max-512gb.png
iPhone 14 Pro Max 256GB,29.390.000₫,256GB,Space Black,https://shopdunk.com/iphone-14-pro-max-256gb,https://shopdunk.com/images/thumbs/0008092_iphone-14-pro-max-256gb.png
iPhone 14 Pro Max 256GB,29.390.000₫,256GB,Silver,https://shopdunk.com/iphone-14-pro-max-256gb,https://shopdunk.com/images/thumbs/0008092_iphone-14-pro-max-256gb.png
iPhone 14 Pro Max 256GB,29.390.000₫,256GB,Gold,https://shopdunk.com/iphone-14-pro-max-256gb,https://shopdunk.com/images/thumbs/0008092_iphone-14-pro-max-256gb.png
iPhone 14 Pro Max 256GB,29.390.000₫,256GB,Deep Purple,https://shopdunk.com/iphone-14-pro-max-256gb,https://shopdunk.com/images/thumbs/0008092_iphone-14-pro-max-256gb.png
iPhone 12 64GB,14.490.000₫,64GB,Black,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 64GB,14.490.000₫,64GB,White,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 64GB,14.490.000₫,64GB,(PRODUCT) RED,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 64GB,14.490.000₫,64GB,Blue,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 64GB,14.490.000₫,64GB,Green,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 64GB,14.490.000₫,64GB,Purple,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 128GB,17.590.000₫,128GB,Black,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 128GB,17.590.000₫,128GB,White,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 128GB,17.590.000₫,128GB,(PRODUCT) RED,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 128GB,17.590.000₫,128GB,Blue,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 128GB,17.590.000₫,128GB,Green,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 128GB,17.590.000₫,128GB,Purple,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 64GB,14.490.000₫,64GB,Black,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 64GB,14.490.000₫,64GB,White,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 64GB,14.490.000₫,64GB,(PRODUCT) RED,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 64GB,14.490.000₫,64GB,Blue,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 64GB,14.490.000₫,64GB,Green,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 64GB,14.490.000₫,64GB,Purple,https://shopdunk.com/iphone-12-64gb,https://shopdunk.com/images/thumbs/0006794_iphone-12-64gb.png
iPhone 12 128GB,17.590.000₫,128GB,Black,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 128GB,17.590.000₫,128GB,White,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 128GB,17.590.000₫,128GB,(PRODUCT) RED,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 128GB,17.590.000₫,128GB,Blue,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 128GB,17.590.000₫,128GB,Green,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone 12 128GB,17.590.000₫,128GB,Purple,https://shopdunk.com/iphone-12-128gb,https://shopdunk.com/images/thumbs/0006849_iphone-12-128gb.png
iPhone SE (2022),9.990.000₫,64GB,Midnight,https://shopdunk.com/iphone-se-2022,https://shopdunk.com/images/thumbs/0000600_iphone-se-2022.png
iPhone SE (2022),9.990.000₫,64GB,Starlight,https://shopdunk.com/iphone-se-2022,https://shopdunk.com/images/thumbs/0000600_iphone-se-2022.png
iPhone SE (2022),9.990.000₫,64GB,(PRODUCT) RED,https://shopdunk.com/iphone-se-2022,https://shopdunk.com/images/thumbs/0000600_iphone-se-2022.png
iPhone 13 mini,16.990.000₫,128GB,Alpine Green,https://shopdunk.com/iphone-13-mini,https://shopdunk.com/images/thumbs/0000597_iphone-13-mini.png
iPhone 13 mini,16.990.000₫,128GB,Midnight,https://shopdunk.com/iphone-13-mini,https://shopdunk.com/images/thumbs/0000597_iphone-13-mini.png
iPhone 13 mini,16.990.000₫,128GB,Starlight,https://shopdunk.com/iphone-13-mini,https://shopdunk.com/images/thumbs/0000597_iphone-13-mini.png
iPhone 13 mini,16.990.000₫,128GB,Blue,https://shopdunk.com/iphone-13-mini,https://shopdunk.com/images/thumbs/0000597_iphone-13-mini.png
iPhone 13 mini,16.990.000₫,128GB,(PRODUCT) RED,https://shopdunk.com/iphone-13-mini,https://shopdunk.com/images/thumbs/0000597_iphone-13-mini.png
iPhone 13 mini,16.990.000₫,128GB,Pink,https://shopdunk.com/iphone-13-mini,https://shopdunk.com/images/thumbs/0000597_iphone-13-mini.png
iPhone 13,16.490.000₫,128GB,Midnight,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
iPhone 13,16.490.000₫,128GB,Starlight,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
iPhone 13,16.490.000₫,128GB,Pink,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
iPhone 13,16.490.000₫,128GB,(PRODUCT) RED,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
iPhone 13,16.490.000₫,128GB,Blue,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
iPhone 13,16.490.000₫,128GB,Alpine Green,https://shopdunk.com/iphone-13,https://shopdunk.com/images/thumbs/0000596_iphone-13.png
iPhone 11 64GB,10.390.000₫,64GB,Black,https://shopdunk.com/iphone-11,https://shopdunk.com/images/thumbs/0012164_iphone-11-64gb.webp
iPhone 11 64GB,10.390.000₫,64GB,White,https://shopdunk.com/iphone-11,https://shopdunk.com/images/thumbs/0012164_iphone-11-64gb.webp
iPhone 11 128GB,11.890.000₫,128GB,Black,https://shopdunk.com/iphone-11-128gb,https://shopdunk.com/images/thumbs/0012165_iphone-11-128gb.jpeg
iPhone 11 128GB,11.890.000₫,128GB,White,https://shopdunk.com/iphone-11-128gb,https://shopdunk.com/images/thumbs/0012165_iphone-11-128gb.jpeg
iPhone 11 128GB,11.890.000₫,128GB,Black,https://shopdunk.com/iphone-11-128gb,https://shopdunk.com/images/thumbs/0012165_iphone-11-128gb.jpeg
iPhone 11 128GB,11.890.000₫,128GB,White,https://shopdunk.com/iphone-11-128gb,https://shopdunk.com/images/thumbs/0012165_iphone-11-128gb.jpeg
iPhone 14 Plus 512GB,25.590.000₫,512GB,Midnight,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
iPhone 14 Plus 512GB,25.590.000₫,512GB,Starlight,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
iPhone 14 Plus 512GB,25.590.000₫,512GB,(PRODUCT) RED,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
iPhone 14 Plus 512GB,25.590.000₫,512GB,Purple,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
iPhone 14 Plus 512GB,25.590.000₫,512GB,Blue,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
iPhone 14 Plus 512GB,25.590.000₫,512GB,Yellow,https://shopdunk.com/iphone-14-plus-512gb,https://shopdunk.com/images/thumbs/0009587_iphone-14-plus-512gb.png
iPhone 14 512GB,26.990.000₫,512GB,Midnight,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
iPhone 14 512GB,26.990.000₫,512GB,Starlight,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
iPhone 14 512GB,26.990.000₫,512GB,(PRODUCT) RED,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
iPhone 14 512GB,26.990.000₫,512GB,Purple,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
iPhone 14 512GB,26.990.000₫,512GB,Blue,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
iPhone 14 512GB,26.990.000₫,512GB,Yellow,https://shopdunk.com/iphone-14-512gb,https://shopdunk.com/images/thumbs/0009441_iphone-14-512gb.png
iPhone 14 Pro 1TB,37.490.000₫,1TB,Space Black,https://shopdunk.com/iphone-14-pro-1tb,https://shopdunk.com/images/thumbs/0009074_iphone-14-pro-1tb.png
iPhone 14 Pro 1TB,37.490.000₫,1TB,Silver,https://shopdunk.com/iphone-14-pro-1tb,https://shopdunk.com/images/thumbs/0009074_iphone-14-pro-1tb.png
iPhone 14 Pro 1TB,37.490.000₫,1TB,Gold,https://shopdunk.com/iphone-14-pro-1tb,https://shopdunk.com/images/thumbs/0009074_iphone-14-pro-1tb.png
iPhone 14 Pro 1TB,37.490.000₫,1TB,Deep Purple,https://shopdunk.com/iphone-14-pro-1tb,https://shopdunk.com/images/thumbs/0009074_iphone-14-pro-1tb.png
iPhone 14 Pro 512GB,32.490.000₫,512GB,Space Black,https://shopdunk.com/iphone-14-pro-512gb,https://shopdunk.com/images/thumbs/0009037_iphone-14-pro-512gb.png
iPhone 14 Pro 512GB,32.490.000₫,512GB,Silver,https://shopdunk.com/iphone-14-pro-512gb,https://shopdunk.com/images/thumbs/0009037_iphone-14-pro-512gb.png
iPhone 14 Pro 512GB,32.490.000₫,512GB,Gold,https://shopdunk.com/iphone-14-pro-512gb,https://shopdunk.com/images/thumbs/0009037_iphone-14-pro-512gb.png
iPhone 14 Pro 512GB,32.490.000₫,512GB,Deep Purple,https://shopdunk.com/iphone-14-pro-512gb,https://shopdunk.com/images/thumbs/0009037_iphone-14-pro-512gb.png
iPhone 14 Pro 256GB,27.390.000₫,256GB,Space Black,https://shopdunk.com/iphone-14-pro-256gb,https://shopdunk.com/images/thumbs/0008771_iphone-14-pro-256gb.png
iPhone 14 Pro 256GB,27.390.000₫,256GB,Silver,https://shopdunk.com/iphone-14-pro-256gb,https://shopdunk.com/images/thumbs/0008771_iphone-14-pro-256gb.png
iPhone 14 Pro 256GB,27.390.000₫,256GB,Gold,https://shopdunk.com/iphone-14-pro-256gb,https://shopdunk.com/images/thumbs/0008771_iphone-14-pro-256gb.png
iPhone 14 Pro 256GB,27.390.000₫,256GB,Deep Purple,https://shopdunk.com/iphone-14-pro-256gb,https://shopdunk.com/images/thumbs/0008771_iphone-14-pro-256gb.png
iPhone 14 Pro 128GB,24.690.000₫,128GB,Space Black,https://shopdunk.com/iphone-14-pro,https://shopdunk.com/images/thumbs/0008734_iphone-14-pro-128gb.png
iPhone 14 Pro 128GB,24.690.000₫,128GB,Silver,https://shopdunk.com/iphone-14-pro,https://shopdunk.com/images/thumbs/0008734_iphone-14-pro-128gb.png
iPhone 14 Pro 128GB,24.690.000₫,128GB,Gold,https://shopdunk.com/iphone-14-pro,https://shopdunk.com/images/thumbs/0008734_iphone-14-pro-128gb.png
iPhone 14 Pro 128GB,24.690.000₫,128GB,Deep Purple,https://shopdunk.com/iphone-14-pro,https://shopdunk.com/images/thumbs/0008734_iphone-14-pro-128gb.png
iPhone 14 256GB,21.890.000₫,256GB,Midnight,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 256GB,21.890.000₫,256GB,Starlight,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 256GB,21.890.000₫,256GB,(PRODUCT) RED,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 256GB,21.890.000₫,256GB,Purple,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 256GB,21.890.000₫,256GB,Blue,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 256GB,21.890.000₫,256GB,Yellow,https://shopdunk.com/iphone-14-256gb,https://shopdunk.com/images/thumbs/0009396_iphone-14-256gb.png
iPhone 14 128GB,18.990.000₫,128GB,Midnight,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 128GB,18.990.000₫,128GB,Starlight,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 128GB,18.990.000₫,128GB,Blue,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 128GB,18.990.000₫,128GB,Purple,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 128GB,18.990.000₫,128GB,(PRODUCT) RED,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 128GB,18.990.000₫,128GB,Yellow,https://shopdunk.com/iphone-14-128gb,https://shopdunk.com/images/thumbs/0009181_iphone-14-128gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,Midnight,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,Starlight,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,(PRODUCT) RED,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,Purple,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,Blue,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 256GB,24.490.000₫,256GB,Yellow,https://shopdunk.com/iphone-14-plus-256gb,https://shopdunk.com/images/thumbs/0009541_iphone-14-plus-256gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,Midnight,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,Starlight,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,(PRODUCT) RED,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,Purple,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,Blue,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 14 Plus 128GB,21.590.000₫,128GB,Yellow,https://shopdunk.com/iphone-14-plus-128gb,https://shopdunk.com/images/thumbs/0009495_iphone-14-plus-128gb.png
iPhone 11 64GB,10.390.000₫,64GB,Black,https://shopdunk.com/iphone-11,https://shopdunk.com/images/thumbs/0012164_iphone-11-64gb.webp
iPhone 11 64GB,10.390.000₫,64GB,White,https://shopdunk.com/iphone-11,https://shopdunk.com/images/thumbs/0012164_iphone-11-64gb.webp
